time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
6.07607607607608E-4	3186452.19821381	2655424.4734047	2246759.62968165	1960211.95868421
6.08608608608609E-4	3187199.95597179	2656151.738887	2247444.01659021	1960833.35609224
6.0960960960961E-4	3187946.50019189	2656877.8563829	2248127.38679463	1961454.0139524
6.10610610610611E-4	3188691.94443876	2657602.74255826	2248809.74331121	1962073.73692485
6.11611611611612E-4	3189436.07318439	2658326.66187231	2249491.08914282	1962692.62612523
6.12612612612613E-4	3190179.00013315	2659049.27037202	2250171.42727904	1963310.68379404
6.13613613613614E-4	3190920.72916069	2659770.83207264	2250850.76069617	1963928.01036596
6.14614614614615E-4	3191661.26412393	2660491.35011738	2251528.98725087	1964544.41152555
6.15615615615616E-4	3192400.60886119	2661210.56881542	2252206.4252127	1965159.98782147
6.16616616616617E-4	3193138.76719233	2661928.7509093	2252882.65740155	1965774.74145842
6.17617617617618E-4	3193875.74291881	2662645.81349184	2253558.10624101	1966388.67463228
6.18618618618619E-4	3194611.5398239	2663361.76004782	2254232.35575872	1967001.88707933
6.1961961961962E-4	3195346.16167271	2664076.50830829	2254905.72278492	1967614.1857498
6.20620620620621E-4	3196079.61221235	2664790.3189381	2255578.10556143	1968225.67049265
6.21621621621622E-4	3196812.00288591	2665502.93816116	2256249.5069614	1968836.34346892
6.22622622622623E-4	3197543.12180602	2666214.3697954	2256919.92984538	1969446.20683105
6.23623623623624E-4	3198273.08055191	2666924.87326521	2257589.37706144	1970055.35962673
6.24624624624625E-4	3199001.8827998	2667634.11086262	2258257.85144524	1970663.61005568
6.25625625625626E-4	3199729.53220844	2668342.34158552	2258925.35582009	1971271.05727703
6.26626626626627E-4	3200456.03241927	2669049.48358326	2259591.89299704	1971877.70340927
6.27627627627628E-4	3201181.38705647	2669755.54019799	2260257.46577492	1972483.55056255
6.28628628628629E-4	3201905.59972714	2670460.51475649	2260922.07694044	1973088.69710559
6.2962962962963E-4	3202628.67402134	2671164.41057025	2261585.72926824	1973692.85633118
6.30630630630631E-4	3203350.61351225	2671867.2309356	2262248.42552099	1974296.41513984
6.31631631631632E-4	3204071.42175624	2672568.89496462	2262910.1684494	1974899.08718706
6.32632632632633E-4	3204791.20815457	2673269.65843103	2263570.8584016	1975501.06644569
6.33633633633634E-4	3205509.76434194	2673969.18816537	2264230.80527697	1976102.16332474
6.34634634634635E-4	3206227.19985228	2674667.73952732	2264889.60252094	1976702.38025212
6.35635635635636E-4	3206943.51817583	2675365.23169763	2265547.55956922	1977302.00581338
