time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
2.07807807807808E-5	215.202059839801	250.656723596471	296.059631844371	351.434288465672	416.806866161444	492.195229553022	577.527823478159	671.993329404278
2.08048048048048E-5	215.199563427074	250.653328875953	296.055114115094	351.428399424027	416.79934713203	492.185866414538	577.516765164799	671.98330691895
2.08288288288288E-5	215.197081096	250.649951848995	296.050618118482	351.422536502132	416.791858821507	492.176538473866	577.505744992078	671.973315592147
2.08528528528529E-5	215.194612766538	250.646592422334	296.046143748283	351.416699581461	416.784401100352	492.167245592946	577.494762821088	671.963355321549
2.08768768768769E-5	215.192158359108	250.643250503208	296.04169089878	351.410888544048	416.776973839617	492.157987634302	577.483818513482	671.953426005207
2.09009009009009E-5	215.18971779459	250.639925999356	296.03725946479	351.40510327249	416.769576910935	492.148764461043	577.472911931463	671.943527541539
2.09249249249249E-5	215.187290994322	250.636618819013	296.03284934166	351.399343649935	416.76221018651	492.139575936854	577.462042937788	671.93365982933
2.09489489489489E-5	215.184877880091	250.63332887091	296.028460425262	351.393609560087	416.754873539114	492.130421925996	577.451211395761	671.923822767732
2.0972972972973E-5	215.18247837414	250.630056064266	296.024092611996	351.387900887199	416.747566842091	492.121302293306	577.440417169232	671.914016256257
2.0996996996997E-5	215.180092399157	250.626800308791	296.019745798781	351.382217516071	416.740289969347	492.112216904191	577.429660122598	671.904240194783
2.1021021021021E-5	215.177719878278	250.62356151468	296.015419883056	351.376559332049	416.733042795351	492.103165624624	577.418940120794	671.894494483546
2.1045045045045E-5	215.175360735079	250.620339592611	296.011114762778	351.370926221019	416.725825195131	492.094148321146	577.408257029295	671.884779023143
2.10690690690691E-5	215.173014893579	250.617134453742	296.006830336414	351.365318069407	416.718637044272	492.085164860859	577.397610714111	671.875093714528
2.10930930930931E-5	215.170682278234	250.61394600971	296.002566502943	351.359734764176	416.711478218911	492.076215111426	577.387001041789	671.86543845901
2.11171171171171E-5	215.168362813934	250.610774172626	295.998323161854	351.354176192821	416.704348595738	492.067298941066	577.376427879404	671.855813158255
2.11411411411411E-5	215.166056426004	250.607618855072	295.994100213138	351.348642243369	416.697248051992	492.058416218555	577.365891094562	671.84621771428
2.11651651651652E-5	215.163763040196	250.604479970103	295.989897557291	351.343132804374	416.690176465455	492.049566813218	577.355390555393	671.836652029455
2.11891891891892E-5	215.161482582692	250.601357431238	295.985715095309	351.337647764918	416.683133714455	492.040750594931	577.344926130555	671.827116006501
2.12132132132132E-5	215.159214980098	250.598251152462	295.981552728683	351.332187014602	416.676119677858	492.031967434117	577.334497689225	671.817609548486
2.12372372372372E-5	215.156960159442	250.595161048221	295.977410359402	351.32675044355	416.669134235069	492.023217201744	577.324105101098	671.808132558826
2.12612612612613E-5	215.154718048173	250.592087033422	295.973287889943	351.321337942403	416.662177266029	492.01449976932	577.313748236391	671.798684941284
2.12852852852853E-5	215.152488574157	250.589029023427	295.969185223277	351.315949402317	416.655248651208	492.005815008893	577.303426965829	671.789266599967
2.13093093093093E-5	215.150271665673	250.585986934052	295.965102262859	351.310584714959	416.64834827161	491.997162793047	577.293141160655	671.779877439324
2.13333333333333E-5	215.148067251417	250.582960681567	295.961038912628	351.305243772507	416.641476008765	491.988542994901	577.282890692618	671.770517364149
2.13573573573574E-5	215.14587526049	250.579950182689	295.956995077006	351.299926467646	416.634631744726	491.979955488104	577.272675433977	671.761186279571
2.13813813813814E-5	215.143695622406	250.576955354581	295.952970660893	351.294632693565	416.627815362071	491.971400146835	577.262495257494	671.751884091064
2.14054054054054E-5	215.141528267079	250.573976114853	295.948965569668	351.289362343956	416.621026743897	491.9628768458	577.252350036436	671.742610704434
2.14294294294294E-5	215.139373124829	250.571012381555	295.944979709182	351.28411531301	416.614265773815	491.954385460229	577.24223964457	671.733366025827
2.14534534534535E-5	215.137230126377	250.568064073176	295.941012985757	351.278891495415	416.607532335956	491.945925865871	577.232163956161	671.724149961722
2.14774774774775E-5	215.13509920284	250.565131108642	295.937065306187	351.273690786353	416.600826314959	491.937497938999	577.22212284597	671.714962418931
2.15015015015015E-5	215.132980285732	250.562213407314	295.93313657773	351.268513081499	416.594147595974	491.929101556397	577.212116189253	671.705803304601
2.15255255255255E-5	215.130873306961	250.559310888983	295.929226708109	351.263358277016	416.587496064659	491.920736595369	577.202143861757	671.696672526205
2.15495495495496E-5	215.128778198824	250.556423473873	295.92533560551	351.258226269556	416.580871607176	491.912402933726	577.192205739718	671.687569991549
2.15735735735736E-5	215.126694894011	250.553551082632	295.921463178577	351.253116956255	416.574274110189	491.904100449792	577.182301699859	671.678495608765
2.15975975975976E-5	215.124623325593	250.550693636335	295.91760933641	351.248030234729	416.567703460863	491.895829022395	577.17243161939	671.669449286312
2.16216216216216E-5	215.12256342703	250.547851056477	295.913773988566	351.242966003078	416.56115954686	491.887588530871	577.162595376001	671.660430932976
2.16456456456456E-5	215.120515132163	250.545023264976	295.909957045052	351.237924159875	416.554642256337	491.879378855056	577.152792847865	671.651440457865
2.16696696696697E-5	215.11847837521	250.542210184166	295.906158416327	351.232904604171	416.548151477943	491.871199875286	577.143023913633	671.64247777041
2.16936936936937E-5	215.11645309077	250.539411736796	295.902378013295	351.227907235488	416.541687100819	491.863051472398	577.13328845243	671.633542780362
2.17177177177177E-5	215.114439213815	250.536627846029	295.898615747306	351.222931953819	416.535249014592	491.854933527719	577.123586343859	671.624635397796
2.17417417417417E-5	215.112436679693	250.53385843544	295.894871530153	351.217978659625	416.528837109376	491.846845923074	577.113917467993	671.615755533101
2.17657657657658E-5	215.110445424119	250.531103429011	295.89114527407	351.213047253831	416.522451275769	491.838788540776	577.104281705375	671.606903096988
2.17897897897898E-5	215.108465383179	250.52836275113	295.887436891727	351.208137637828	416.516091404849	491.830761263628	577.094678937015	671.598078000479
2.18138138138138E-5	215.106496493327	250.52563632659	295.883746296232	351.203249713465	416.509757388171	491.822763974917	577.085109044391	671.589280154916
2.18378378378378E-5	215.104538691379	250.522924080587	295.880073401126	351.198383383052	416.503449117769	491.814796558417	577.075571909443	671.58050947195
2.18618618618619E-5	215.102591914513	250.520225938714	295.876418120379	351.193538549353	416.49716648615	491.806858898382	577.066067414573	671.571765863548
2.18858858858859E-5	215.10065610027	250.517541826963	295.872780368393	351.188715115587	416.490909386294	491.798950879545	577.056595442642	671.563049241986
2.19099099099099E-5	215.098731186547	250.514871671721	295.869160059996	351.183912985426	416.484677711648	491.791072387118	577.04715587697	671.55435951985
